league_name,team_name,match_date,goals_scored,Proxy_xG,Luck_Factor
Eliteserien,Kristiansund BK,2024-11-10 16:00:00,0,1.9,-1.9
Eliteserien,Viking,2024-11-10 16:00:00,1,1.1,-0.1
Eliteserien,Stromsgodset,2024-11-10 16:00:00,1,1.0,0.0
Eliteserien,KFUM Oslo,2024-11-10 16:00:00,0,1.1,-1.1
Eliteserien,Haugesund,2024-11-10 16:00:00,2,1.8,0.2
Eliteserien,Tromso,2024-11-10 16:00:00,0,1.1,-1.1
Eliteserien,Sandefjord,2024-11-10 16:00:00,1,1.2,-0.2
Eliteserien,ODD Ballklubb,2024-11-10 16:00:00,0,0.9,-0.9
Eliteserien,Brann,2024-11-09 17:00:00,2,1.8,0.2
Eliteserien,Lillestrom,2024-11-09 17:00:00,1,1.1,-0.1
Eliteserien,Rosenborg,2024-11-03 18:15:00,1,2.3,-1.3
Eliteserien,Stromsgodset,2024-11-03 18:15:00,0,1.0,-1.0
Eliteserien,Brann,2024-11-03 16:00:00,3,1.6,1.4
Eliteserien,KFUM Oslo,2024-11-03 16:00:00,1,0.9,0.1
Eliteserien,Sarpsborg 08 FF,2024-11-03 16:00:00,2,1.7,0.3
Eliteserien,Fredrikstad,2024-11-03 16:00:00,1,1.4,-0.4
Eliteserien,Kristiansund BK,2024-11-03 16:00:00,1,0.8,0.2
